TIME,EVENT,DETAIL
2026.09.17 18:50:00,SIGNAL,BULL R=1.48 ext=4367.31
2026.09.17 18:52:05,EXT_HIT,2026.09.17 18:48:00 extreme=4367.36
2026.09.17 18:52:09,PB_CONFIRM,2026.09.17 18:48:00 R=1.48
2026.09.17 18:52:10,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 18:52:40,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4367.08
2026.09.17 21:06:00,SIGNAL,BULL R=1.90 ext=4365.70
2026.09.17 21:16:15,EXT_HIT,2026.09.17 21:04:00 extreme=4365.71
2026.09.17 21:16:15,PB_CONFIRM,2026.09.17 21:04:00 R=1.90
2026.09.17 21:16:15,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 21:16:47,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4364.98
2026.09.17 21:30:00,SIGNAL,BEAR R=1.82 ext=4354.72
2026.09.17 21:30:41,EXT_HIT,2026.09.17 21:28:00 extreme=4354.54
2026.09.17 21:30:41,PB_CONFIRM,2026.09.17 21:28:00 R=1.82
2026.09.17 21:30:41,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 21:32:00,SIGNAL,BEAR R=2.69 ext=4351.16
2026.09.17 21:33:57,EXT_HIT,2026.09.17 21:30:00 extreme=4350.99
2026.09.17 21:33:58,PB_CONFIRM,2026.09.17 21:30:00 R=2.69
2026.09.17 21:33:58,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 21:41:12,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4352.19
2026.09.17 22:18:00,SIGNAL,BEAR R=3.66 ext=4346.05
2026.09.17 22:27:05,EXT_HIT,2026.09.17 22:16:00 extreme=4346.04
2026.09.17 22:27:10,PB_CONFIRM,2026.09.17 22:16:00 R=3.66
2026.09.17 22:27:10,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.17 22:53:51,TP1_LOCK,TP1 reached; 0.01 lot cannot partial-close 30%, whole SL moved to 4347.81
2026.09.18 02:54:00,SIGNAL,BULL R=1.55 ext=4348.07
2026.09.18 02:55:12,EXT_HIT,2026.09.18 02:52:00 extreme=4348.25
2026.09.18 02:55:16,PB_CONFIRM,2026.09.18 02:52:00 R=1.55
2026.09.18 02:55:16,ORDER_SENT_NO_POSITION,retcode=10009
2026.09.18 02:56:00,SIGNAL,BULL R=0.74 ext=4348.04
