strategy,entry_time,entry_price,exit_time,exit_price,dir,volume,r_realized,gross_pnl,commission,net_pnl,reason,entry_path,entry_dt,exit_dt,hold_hours
007_symfastconfirm,1736498562,2676.81,1736498645,2676.03,-1,0.01,1.0399999999996605,0.7799999999997453,0.15,0.6299999999997453,PARTIAL_TP,mechanical,2025-01-10 08:42:42+00:00,2025-01-10 08:44:05+00:00,0.023055555555555555
007_symfastconfirm,1736498562,2676.81,1736498677,2676.6225,-1,0.01,0.25,0.1875,0.15,0.037500000000000006,LOCK,mechanical,2025-01-10 08:42:42+00:00,2025-01-10 08:44:37+00:00,0.03194444444444444
007_symfastconfirm,1736499523,2678.42,1736499748,2678.115,-1,0.02,0.25000000000018635,0.6100000000005821,0.3,0.3100000000005821,LOCK,mechanical,2025-01-10 08:58:43+00:00,2025-01-10 09:02:28+00:00,0.0625
007_symfastconfirm,1736504502,2679.0,1736506235,2678.435,-1,0.02,0.2500000000000503,1.1300000000001091,0.3,0.8300000000001091,LOCK,mechanical,2025-01-10 10:21:42+00:00,2025-01-10 10:50:35+00:00,0.48138888888888887
007_symfastconfirm,1736511585,2682.49,1736511758,2680.52,-1,0.01,1.0051020408162057,1.9699999999998001,0.15,1.8199999999998002,PARTIAL_TP,mechanical,2025-01-10 12:19:45+00:00,2025-01-10 12:22:38+00:00,0.04805555555555555
007_symfastconfirm,1736511585,2682.49,1736513496,2679.006,-1,0.01,1.7775510204080913,3.483999999999924,0.15,3.333999999999924,TP,mechanical,2025-01-10 12:19:45+00:00,2025-01-10 12:51:36+00:00,0.5308333333333334
007_symfastconfirm,1736514855,2681.97,1736514878,2681.39,-1,0.01,1.0545454545449735,0.5799999999999272,0.15,0.4299999999999272,PARTIAL_TP,mechanical,2025-01-10 13:14:15+00:00,2025-01-10 13:14:38+00:00,0.006388888888888889
007_symfastconfirm,1736514855,2681.97,1736514937,2680.9649999999997,-1,0.01,1.8272727272723215,1.0050000000001091,0.15,0.8550000000001091,TP,mechanical,2025-01-10 13:14:15+00:00,2025-01-10 13:15:37+00:00,0.02277777777777778
007_symfastconfirm,1736517000,2681.57,1736517000,2681.9139999999998,-1,0.02,-0.40952380952325784,-0.6879999999991924,0.3,-0.9879999999991924,TP,fast,2025-01-10 13:50:00+00:00,2025-01-10 13:50:00+00:00,0.0
007_symfastconfirm,1736518639,2677.56,1736518950,2678.0525,1,0.02,0.2499999999999423,0.9849999999996726,0.3,0.6849999999996725,LOCK,mechanical,2025-01-10 14:17:19+00:00,2025-01-10 14:22:30+00:00,0.08638888888888889
007_symfastconfirm,1736523040,2665.82,1736523042,2666.52,1,0.01,1.111111111111432,0.6999999999998181,0.15,0.5499999999998181,PARTIAL_TP,mechanical,2025-01-10 15:30:40+00:00,2025-01-10 15:30:42+00:00,0.0005555555555555556
007_symfastconfirm,1736523040,2665.82,1736523061,2669.6369999999997,1,0.01,6.058730158732772,3.8169999999995525,0.15,3.6669999999995526,TP,mechanical,2025-01-10 15:30:40+00:00,2025-01-10 15:31:01+00:00,0.005833333333333334
007_symfastconfirm,1736524200,2680.85,1736524200,2676.9900000000002,1,0.02,-0.6655172413792331,-7.719999999999345,0.3,-8.019999999999346,TP,fast,2025-01-10 15:50:00+00:00,2025-01-10 15:50:00+00:00,0.0
007_symfastconfirm,1736524783,2683.83,1736524798,2682.98,-1,0.01,1.0119047619044783,0.8499999999999089,0.15,0.6999999999999089,PARTIAL_TP,mechanical,2025-01-10 15:59:43+00:00,2025-01-10 15:59:58+00:00,0.004166666666666667
007_symfastconfirm,1736524783,2683.83,1736524829,2683.62,-1,0.01,0.25,0.21000000000003638,0.15,0.060000000000036385,LOCK,mechanical,2025-01-10 15:59:43+00:00,2025-01-10 16:00:29+00:00,0.012777777777777779
007_symfastconfirm,1736526887,2692.86,1736527050,2689.03,-1,0.01,1.0052493438320163,3.8299999999999272,0.15,3.6799999999999273,PARTIAL_TP,mechanical,2025-01-10 16:34:47+00:00,2025-01-10 16:37:30+00:00,0.04527777777777778
007_symfastconfirm,1736526887,2692.86,1736527121,2686.031,-1,0.01,1.7923884514436421,6.829000000000178,0.15,6.679000000000178,TP,mechanical,2025-01-10 16:34:47+00:00,2025-01-10 16:38:41+00:00,0.065
007_symfastconfirm,1736527200,2685.73,1736527200,2686.031,-1,0.02,-0.079002624671899,-0.6019999999998618,0.3,-0.9019999999998618,TP,fast,2025-01-10 16:40:00+00:00,2025-01-10 16:40:00+00:00,0.0
007_symfastconfirm,1736544000,2687.55,1736544000,2687.119,1,0.02,-0.19502262443440405,-0.86200000000008,0.3,-1.16200000000008,TP,fast,2025-01-10 21:20:00+00:00,2025-01-10 21:20:00+00:00,0.0
007_symfastconfirm,1736734800,2690.68,1736734800,2691.082,-1,0.02,-0.2481481481481918,-0.8040000000000873,0.3,-1.1040000000000874,TP,fast,2025-01-13 02:20:00+00:00,2025-01-13 02:20:00+00:00,0.0
007_symfastconfirm,1736737990,2681.95,1736738073,2682.5024999999996,1,0.02,0.2499999999998971,1.1049999999995634,0.3,0.8049999999995634,LOCK,mechanical,2025-01-13 03:13:10+00:00,2025-01-13 03:14:33+00:00,0.023055555555555555
007_symfastconfirm,1736738841,2679.99,1736740357,2684.98,1,0.01,1.0040241448692113,4.9900000000002365,0.15,4.840000000000236,PARTIAL_TP,mechanical,2025-01-13 03:27:21+00:00,2025-01-13 03:52:37+00:00,0.4211111111111111
007_symfastconfirm,1736738841,2679.99,1736741255,2689.1330000000003,1,0.01,1.8396378269617737,9.143000000000484,0.15,8.993000000000483,TP,mechanical,2025-01-13 03:27:21+00:00,2025-01-13 04:07:35+00:00,0.6705555555555556
007_symfastconfirm,1736753411,2685.21,1736753413,2684.8500000000004,1,0.02,-2.0,-0.7199999999993452,0.3,-1.0199999999993452,SL,mechanical,2025-01-13 07:30:11+00:00,2025-01-13 07:30:13+00:00,0.0005555555555555556
007_symfastconfirm,1736754223,2684.14,1736754317,2684.31,1,0.02,0.2500000000001672,0.3400000000001455,0.3,0.04000000000014553,LOCK,mechanical,2025-01-13 07:43:43+00:00,2025-01-13 07:45:17+00:00,0.026111111111111113
007_symfastconfirm,1736755200,2687.13,1736755200,2686.9900000000007,1,0.02,-2.0,-0.27999999999883585,0.3,-0.5799999999988359,SL,fast,2025-01-13 08:00:00+00:00,2025-01-13 08:00:00+00:00,0.0
007_symfastconfirm,1736761599,2684.52,1736761599,2684.3800000000006,1,0.02,-2.0,-0.27999999999883585,0.3,-0.5799999999988359,SL,mechanical,2025-01-13 09:46:39+00:00,2025-01-13 09:46:39+00:00,0.0
007_symfastconfirm,1736768400,2687.1,1736768400,2685.757,1,0.02,-1.4440860215054663,-2.6859999999996944,0.3,-2.9859999999996942,TP,fast,2025-01-13 11:40:00+00:00,2025-01-13 11:40:00+00:00,0.0
007_symfastconfirm,1736769642,2683.99,1736769808,2682.13,1,0.02,-2.0,-3.719999999999345,0.3,-4.019999999999345,SL,mechanical,2025-01-13 12:00:42+00:00,2025-01-13 12:03:28+00:00,0.04611111111111111
